平台,7.规格/型号,求和项:8.数量/套,求和项:11.订单行金额
万隆家用电器店,MAC35V1THR(鸿白),14,24731
万隆家用电器店,MAC35V1Y3HR,6,9967
万隆家用电器店,MAC35V1THR(鸿黑),5,8881
万隆家用电器店,MAC35V1THR(pro),4,7480
万隆家用电器店,MAC26V1THR(李小龙),4,6364
万隆家用电器店,MAC72V1KSR,3,10620
万隆家用电器店,MAC26V1Y3HR(3代),3,4504
万隆家用电器店,MAC51V1KSR,2,5364
万隆家用电器店,MAC26V1Y3HR,2,3060
天猫优品,5级定速,5933,8743566.9
天猫优品,MAC35V1THR(鸿白),67,109519.4
天猫优品,MAC35V1Y3HR,19,29939.25
天猫优品,MAC70V1THR,11,31504.55
天猫优品,MAC51V1KSR,5,15041.25
天猫优品,MAH35VTHR(pro),4,8786
天猫优品,MAC50V1THR,4,8782.2
天猫优品,MAC72V1N9SR,1,6015.55
天猫优品,MAC72V1NNSR,1,4487.55
天猫优品,MAC26V1THR(李小龙),1,1575.75
天猫优品,MAC72V1KSR,1,3772.25
淘工厂,MAC72V1KSR,4,18126
淘工厂,(空白),1,3144
淘工厂,MAC51V1KSR,1,3218
淘宝企业店,MAC35V1Y3HR,3,5151
淘宝企业店,MAC72V1KSR,1,3599
淘宝企业店,MAC26V1Y3HR,1,1444
拼多多美邦霖界官方旗舰店,5级定速,71,86597.61
拼多多美邦霖界官方旗舰店,MAC35V1Y3HR,31,58921.65
拼多多美邦霖界官方旗舰店,MAC35V1THR(鸿白),26,57404.96
拼多多美邦霖界官方旗舰店,MAC26V1Y3HR,19,32068.93
拼多多美邦霖界官方旗舰店,MAC26V1THR(李小龙),11,21971.22
拼多多美邦霖界官方旗舰店,MAC35V3YHR,7,11756.81
拼多多美邦霖界官方旗舰店,MAC72V1KSR,5,22828.9
拼多多美邦霖界官方旗舰店,MAC51V1KSR,2,7281.39
拼多多美邦霖界官方旗舰店,MAC72V1NNSR,1,5661
拼多多美邦霖界官方旗舰店,MAC26V1Y3R(3代),1,6203.14
拼多多美邦霖界官方旗舰店,(空白),0,1
拼多多MEIPONT官方旗舰店,(空白),202732,29.07
拼多多MEIPONT官方旗舰店,MAC35V1Y3HR,1663,69683.76
拼多多MEIPONT官方旗舰店,MAC26V1Y3HR,741,44001.15
拼多多MEIPONT官方旗舰店,MAC35V1THR(鸿白),577,27884.92
拼多多MEIPONT官方旗舰店,MAC35V3YHR,334,3593.61
拼多多MEIPONT官方旗舰店,MAC26V1THR(李小龙),285,9632.23
拼多多MEIPONT官方旗舰店,5级定速,140,30942.95
拼多多MEIPONT官方旗舰店,MAC51V1KSR,127,3599.32
拼多多MEIPONT官方旗舰店,MAC72V1KSR,120,27605.69
拼多多MEIPONT官方旗舰店,MAC35V1THR(鸿黑),8,18317.5
拼多多MEIPONT官方旗舰店,MAH35VTHR(pro),1,2467
拼多多MEIPONT官方旗舰店,空调组合套装,1,9435.4
美邦（MEIPONT）京东自营旗舰店,MAC35V1Y1HR,70,125761
美邦（MEIPONT）京东自营旗舰店,MAC35V1THR(鸿白),39,89535
美邦（MEIPONT）京东自营旗舰店,MAC72V1NNSR,24,143712
美邦（MEIPONT）京东自营旗舰店,MAC50V1THR,16,47900
美邦（MEIPONT）京东自营旗舰店,MAC35V1THR(鸿黑),11,25253
美邦（MEIPONT）京东自营旗舰店,MAC26V1Y1HR(2代) ,10,16962
美邦（MEIPONT）京东自营旗舰店,MAC72V1N9SR,6,59532
京东5店美邦meipont电器旗舰店,MAC35V1THR(鸿黑),269,24048
京东5店美邦meipont电器旗舰店,MAC35V1Y3HR,188,109230.5684
京东5店美邦meipont电器旗舰店,MAC72V1KSR,133,15246.11976
京东5店美邦meipont电器旗舰店,MAH35VTHR(pro),21,52633.31188
京东5店美邦meipont电器旗舰店,MAC35V1THR(鸿白),11,25760
京东5店美邦meipont电器旗舰店,(空白),10,5000
京东5店美邦meipont电器旗舰店,5级定速,2,2000
京东5店美邦meipont电器旗舰店,MAC51V1KSR,1,3688
京东4店美邦meipont空调旗舰店,MAC35V1THR(鸿黑),602,3881.302338
京东4店美邦meipont空调旗舰店,(空白),601,1491.859221
